#QID	ANSWER_RELEVANCE
0	0.881
1	0.827
2	0.910
3	0.839
4	0.908
5	0.894
6	0.000
7	0.899
8	0.874
9	0.850
10	0.914
11	0.852
12	0.928
13	0.894
14	0.000
15	0.947
16	0.945
17	0.877
19	0.835
