#QID	ANSWER_RELEVANCE
3	0.863
4	0.908
5	0.923
6	0.852
7	0.900
8	0.875
9	0.854
10	0.905
11	0.904
12	0.928
13	0.891
14	0.891
15	0.947
16	0.933
17	0.879
