#QID	FAITHFULNESS
0	1.000
1	1.000
2	1.000
3	1.000
4	1.000
5	1.000
6	1.000
7	1.000
8	1.000
9	1.000
10	1.000
11	1.000
12	0.000
13	1.000
14	1.000
15	1.000
16	1.000
17	1.000
18	1.000
19	1.000
